storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,storm.year,basin,sst,sst.norm,sst.class
AL291969,MARTHA,17,367200,10705338556.79259,80,1969,NATL,27.883412996528662,1.009156122614031,high
AL011970,ALMA,39,842400,5019988439.377777,70,1970,NATL,27.471000382140442,0.9942300906069398,low
AL021970,BECKY,19,410400,3398123398.77037,55,1970,NATL,27.471000382140442,0.9942300906069398,low
AL031970,UNNAMED,22,475200,853942087.337037,25,1970,NATL,27.471000382140442,0.9942300906069398,low
AL041970,CELIA,24,518400,21022855804.01111,110,1970,NATL,27.471000382140442,0.9942300906069398,low
AL051970,UNNAMED,17,367200,858720928.1185184,30,1970,NATL,27.471000382140442,0.9942300906069398,low
AL071970,UNNAMED,29,626400,1711192602.907407,30,1970,NATL,27.471000382140442,0.9942300906069398,low
AL081970,UNNAMED,15,324e3,2863260834.381481,60,1970,NATL,27.471000382140442,0.9942300906069398,low
AL091970,DOROTHY,25,54e4,5754459507.177777,60,1970,NATL,27.471000382140442,0.9942300906069398,low
AL101970,UNNAMED,24,518400,788876332.0814813,25,1970,NATL,27.471000382140442,0.9942300906069398,low
AL111970,UNNAMED,10,216e3,392232547.2185185,25,1970,NATL,27.471000382140442,0.9942300906069398,low
AL121970,ELLA,20,432e3,15763925325.559258,110,1970,NATL,27.471000382140442,0.9942300906069398,low
AL131970,FELICE,23,496800,3331219627.829629,60,1970,NATL,27.471000382140442,0.9942300906069398,low
AL141970,UNNAMED,14,302400,576034115.737037,25,1970,NATL,27.471000382140442,0.9942300906069398,low
AL151970,UNNAMED,73,1576800,4959333921.766665,30,1970,NATL,27.471000382140442,0.9942300906069398,low
AL161970,GRETA,35,756e3,3070221400.533333,45,1970,NATL,27.471000382140442,0.9942300906069398,low
AL171970,UNNAMED,9,194400,346282155.0888889,25,1970,NATL,27.471000382140442,0.9942300906069398,low
AL181970,UNNAMED,23,496800,13285544975.655552,90,1970,NATL,27.471000382140442,0.9942300906069398,low
AL191970,UNNAMED,33,712800,13546543202.951849,65,1970,NATL,27.471000382140442,0.9942300906069398,low
AL011971,ARLENE,15,324e3,3255125778.4629626,55,1971,NATL,27.149286657899292,0.9825866316592371,low
AL041971,UNNAMED,17,367200,6674937762.318516,75,1971,NATL,27.149286657899292,0.9825866316592371,low
AL061971,BETH,29,626400,10793195706.544443,75,1971,NATL,27.149286657899292,0.9825866316592371,low
AL081971,CHLOE,29,626400,3131243521.2814813,55,1971,NATL,27.149286657899292,0.9825866316592371,low
AL091971,DORIA,36,777600,4654590921.162962,55,1971,NATL,27.149286657899292,0.9825866316592371,low
AL111971,FERN,39,842400,12291913696.244442,80,1971,NATL,27.149286657899292,0.9825866316592371,low
AL121971,UNNAMED,22,475200,1143980962.459259,30,1971,NATL,27.149286657899292,0.9825866316592371,low
AL131971,EDITH,51,1101600,40399217157.23332,140,1971,NATL,27.149286657899292,0.9825866316592371,low
AL141971,GINGER,118,2548800,98489702887.5111,95,1971,NATL,27.149286657899292,0.9825866316592371,low
AL161971,UNNAMED,17,367200,858720928.1185184,30,1971,NATL,27.149286657899292,0.9825866316592371,low
