storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,mean.wind,mean.sq.wind,storm.year,basin,sst,sst.norm,sst.class
AL031973,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1973,NATL,27.36562474279239,0.9904163368302521,low
AL041973,ALICE,22,475200,13368623284.625923,80,54.77272727272727,3267.0454545454545,1973,NATL,27.36562474279239,0.9904163368302521,low
AL051973,UNNAMED,9,194400,368705946.44814813,25,23.88888888888889,575,1973,NATL,27.36562474279239,0.9904163368302521,low
AL061973,ALFA,11,237600,1035170433.896296,40,30.90909090909091,981.8181818181819,1973,NATL,27.36562474279239,0.9904163368302521,low
AL071973,UNNAMED,9,194400,435609717.38888884,30,25,636.1111111111111,1973,NATL,27.36562474279239,0.9904163368302521,low
AL081973,BRENDA,16,345600,7027469170.737036,80,49.0625,2610.9375,1973,NATL,27.36562474279239,0.9904163368302521,low
AL091973,CHRISTINE,42,907200,9827869868.685184,60,40.595238095238095,1749.404761904762,1973,NATL,27.36562474279239,0.9904163368302521,low
AL101973,DELIA,23,496800,6897705263.362962,60,43.47826086956522,2039.1304347826087,1973,NATL,27.36562474279239,0.9904163368302521,low
AL111973,UNNAMED,24,518400,1649067672.7481477,30,28.333333333333332,810.4166666666666,1973,NATL,27.36562474279239,0.9904163368302521,low
AL121973,ELLEN,37,799200,33232058794.422215,100,60.810810810810814,4131.081081081081,1973,NATL,27.36562474279239,0.9904163368302521,low
AL141973,FRAN,20,432e3,14022956868.551851,70,59.75,3726.25,1973,NATL,27.36562474279239,0.9904163368302521,low
AL151973,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1973,NATL,27.36562474279239,0.9904163368302521,low
AL161973,GILDA,56,1209600,16427448987.911108,60,43.92857142857143,2043.75,1973,NATL,27.36562474279239,0.9904163368302521,low
AL011974,UNNAMED,17,367200,624190126.6888888,25,22.941176470588236,532.3529411764706,1974,NATL,27.063064410211155,0.9794660771858353,low
AL021974,UNNAMED,6,129600,1640245197.459259,55,43.333333333333336,1966.6666666666667,1974,NATL,27.063064410211155,0.9794660771858353,low
AL051974,UNNAMED,19,410400,3102202873.455555,45,37.10526315789474,1417.1052631578948,1974,NATL,27.063064410211155,0.9794660771858353,low
AL061974,UNNAMED,19,410400,3925633900.4185176,50,40.78947368421053,1682.8947368421052,1974,NATL,27.063064410211155,0.9794660771858353,low
AL071974,ALMA,13,280800,2160771239.503703,55,36.15384615384615,1388.4615384615386,1974,NATL,27.063064410211155,0.9794660771858353,low
AL091974,BECKY,28,604800,38062364015.08888,100,67.5,5350,1974,NATL,27.063064410211155,0.9794660771858353,low
AL101974,CARMEN,49,1058400,72999733762.22592,130,66.22448979591837,5398.469387755102,1974,NATL,27.063064410211155,0.9794660771858353,low
AL111974,UNNAMED,37,799200,2536094042.418518,30,28.243243243243242,807.4324324324324,1974,NATL,27.063064410211155,0.9794660771858353,low
AL121974,DOLLY,12,259200,2080266152.492592,45,37.916666666666664,1477.0833333333333,1974,NATL,27.063064410211155,0.9794660771858353,low
AL131974,ELAINE,38,820800,7518586961.818518,60,37.76315789473684,1538.8157894736842,1974,NATL,27.063064410211155,0.9794660771858353,low
AL141974,FIFI,33,712800,24091606791.996292,95,51.666666666666664,3311.3636363636365,1974,NATL,27.063064410211155,0.9794660771858353,low
AL151974,UNNAMED,10,216e3,369808755.85925925,25,23,535,1974,NATL,27.063064410211155,0.9794660771858353,low
AL171974,GERTRUDE,27,583200,8448622898.522222,65,42.77777777777778,2034.2592592592594,1974,NATL,27.063064410211155,0.9794660771858353,low
AL181974,UNNAMED,21,453600,2677621250.1777773,45,34.285714285714285,1204.7619047619048,1974,NATL,27.063064410211155,0.9794660771858353,low
AL191974,UNNAMED,13,280800,507659932.2481481,25,23.46153846153846,555.7692307692307,1974,NATL,27.063064410211155,0.9794660771858353,low
AL201974,UNNAMED,9,194400,323858363.7296296,25,22.77777777777778,525,1974,NATL,27.063064410211155,0.9794660771858353,low
AL011975,UNNAMED,21,453600,1187725735.7666664,30,26.428571428571427,708.3333333333334,1975,NATL,27.226232836197834,0.9853714667492381,low
AL021975,AMY,31,669600,11398638073.244442,60,46.45161290322581,2346.7741935483873,1975,NATL,27.226232836197834,0.9853714667492381,low
AL031975,UNNAMED,5,108e3,207328169.28888887,25,24,580,1975,NATL,27.226232836197834,0.9853714667492381,low
AL041975,BLANCHE,20,432e3,8401202093.844442,75,45,2392.5,1975,NATL,27.226232836197834,0.9853714667492381,low
AL071975,CAROLINE,33,712800,13661235381.707407,100,38.93939393939394,2056.818181818182,1975,NATL,27.226232836197834,0.9853714667492381,low
AL081975,DORIS,29,626400,32545743737.574066,95,67.06896551724138,4890.517241379311,1975,NATL,27.226232836197834,0.9853714667492381,low
AL091975,UNNAMED,24,518400,1537316319.0888886,30,27.5,768.75,1975,NATL,27.226232836197834,0.9853714667492381,low
AL101975,UNNAMED,13,280800,663891265.4888887,30,25.384615384615383,657.6923076923077,1975,NATL,27.226232836197834,0.9853714667492381,low
AL121975,UNNAMED,14,302400,866072990.8592591,30,27.142857142857142,750,1975,NATL,27.226232836197834,0.9853714667492381,low
AL131975,ELOISE,47,1015200,22766029879.84074,110,44.57446808510638,2455.851063829787,1975,NATL,27.226232836197834,0.9853714667492381,low
AL141975,FAYE,46,993600,25945429412.074066,90,48.47826086956522,2832.608695652174,1975,NATL,27.226232836197834,0.9853714667492381,low
AL151975,GLADYS,46,993600,55660261391.32592,120,66.30434782608695,4995.652173913043,1975,NATL,27.226232836197834,0.9853714667492381,low
AL171975,UNNAMED,9,194400,368705946.44814813,25,23.88888888888889,575,1975,NATL,27.226232836197834,0.9853714667492381,low
AL191975,HALLIE,14,302400,1879554839.6703699,45,34.642857142857146,1237.5,1975,NATL,27.226232836197834,0.9853714667492381,low
AL221975,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1975,NATL,27.226232836197834,0.9853714667492381,low
AL231975,UNNAMED,17,367200,3823807831.4592586,60,40,1700,1975,NATL,27.226232836197834,0.9853714667492381,low
AL011976,UNNAMED,18,388800,2751141877.5851846,45,35.55555555555556,1333.3333333333333,1976,NATL,27.386322062206418,0.9911654139468505,low
AL021976,UNNAMED,10,216e3,615367651.3999999,30,27,745,1976,NATL,27.386322062206418,0.9911654139468505,low
AL031976,UNNAMED,6,129600,297758540.99999994,30,25,641.6666666666666,1976,NATL,27.386322062206418,0.9911654139468505,low
AL041976,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1976,NATL,27.386322062206418,0.9911654139468505,low
AL051976,UNNAMED,6,129600,230854770.05925924,25,23.333333333333332,550,1976,NATL,27.386322062206418,0.9911654139468505,low
AL061976,ANNA,37,799200,3935191581.9814806,45,31.756756756756758,1052.027027027027,1976,NATL,27.386322062206418,0.9911654139468505,low
AL071976,BELLE,18,388800,24978265558.529625,105,68.05555555555556,5423.611111111111,1976,NATL,27.386322062206418,0.9911654139468505,low
AL081976,DOTTIE,15,324e3,1437695868.9518514,45,29.666666666666668,951.6666666666666,1976,NATL,27.386322062206418,0.9911654139468505,low
AL091976,CANDICE,25,54e4,17610395882.896294,80,56.8,3558,1976,NATL,27.386322062206418,0.9911654139468505,low
AL101976,EMMY,62,1339200,71052172342.20369,90,66.85483870967742,4971.370967741936,1976,NATL,27.386322062206418,0.9911654139468505,low
AL111976,FRANCES,45,972e3,39947800504.95185,100,61.22222222222222,4136.111111111111,1976,NATL,27.386322062206418,0.9911654139468505,low
AL121976,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1976,NATL,27.386322062206418,0.9911654139468505,low
AL131976,UNNAMED,9,194400,346282155.0888889,25,23.333333333333332,550,1976,NATL,27.386322062206418,0.9911654139468505,low
AL141976,UNNAMED,15,324e3,1030023989.9777775,40,26,750,1976,NATL,27.386322062206418,0.9911654139468505,low
AL151976,UNNAMED,29,626400,1900875821.618518,30,27.75862068965517,781.8965517241379,1976,NATL,27.386322062206418,0.9911654139468505,low
AL171976,GLORIA,35,756e3,24740426328.86666,90,54.857142857142854,3462.8571428571427,1976,NATL,27.386322062206418,0.9911654139468505,low
