storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,mean.wind,mean.sq.wind,storm.year,basin,sst,sst.norm,sst.class
AL011966,ALMA,42,907200,34632626746.533325,110,56.42857142857143,3750,1966,NATL,27.584636694220958,0.9983428145443433,low
AL021966,BECKY,9,194400,3413930333.662963,65,46.111111111111114,2352.777777777778,1966,NATL,27.584636694220958,0.9983428145443433,low
AL031966,CELIA,36,777600,7839872103.588887,70,35.416666666666664,1488.1944444444443,1966,NATL,27.584636694220958,0.9983428145443433,low
AL041966,DOROTHY,37,799200,21340832517.548145,75,54.86486486486486,3210.810810810811,1966,NATL,27.584636694220958,0.9983428145443433,low
AL051966,ELLA,26,561600,4646503652.148148,45,37.69230769230769,1486.5384615384614,1966,NATL,27.584636694220958,0.9983428145443433,low
AL061966,FAITH,69,1490400,120569417710.50368,110,78.98550724637681,6722.463768115942,1966,NATL,27.584636694220958,0.9983428145443433,low
AL071966,GRETA,26,561600,2944501127.666666,50,32.30769230769231,1088.4615384615386,1966,NATL,27.584636694220958,0.9983428145443433,low
AL081966,HALLIE,7,151200,1098765776.6037035,45,35,1332.142857142857,1966,NATL,27.584636694220958,0.9983428145443433,low
AL091966,INEZ,81,1749600,163343351132.99628,130,76.23456790123457,6889.197530864198,1966,NATL,27.584636694220958,0.9983428145443433,low
AL101966,JUDITH,15,324e3,1869629554.97037,45,33.333333333333336,1163.3333333333333,1966,NATL,27.584636694220958,0.9983428145443433,low
AL111966,LOIS,39,842400,21180557549.799995,70,52.30769230769231,3016.6666666666665,1966,NATL,27.584636694220958,0.9983428145443433,low
AL111967,ARLENE,29,626400,11705219089.53333,75,47.58620689655172,2467.2413793103447,1967,NATL,27.314482106818136,0.9885653832103898,low
AL121967,CHLOE,68,1468800,73559593339.93332,95,64.8529411764706,4724.264705882353,1967,NATL,27.314482106818136,0.9885653832103898,low
AL131967,BEULAH,70,1512e3,145222722095.89258,140,76.78571428571429,6975.357142857143,1967,NATL,27.314482106818136,0.9885653832103898,low
AL141967,DORIA,55,1188e3,26411917792.974068,75,47.36363636363637,2641.3636363636365,1967,NATL,27.314482106818136,0.9885653832103898,low
AL181967,EDITH,21,453600,2501906950.674073,50,33.333333333333336,1142.857142857143,1967,NATL,27.314482106818136,0.9885653832103898,low
AL191967,FERN,13,280800,6738533105.025926,75,51.15384615384615,2901.923076923077,1967,NATL,27.314482106818136,0.9885653832103898,low
AL211967,GINGER,14,302400,1639877594.3222218,45,33.214285714285715,1133.9285714285713,1967,NATL,27.314482106818136,0.9885653832103898,low
AL251967,HEIDI,54,1166400,39029527868.63332,80,58.611111111111114,3699.537037037037,1967,NATL,27.314482106818136,0.9885653832103898,low
AL011968,ABBY,51,1101600,10797606944.188889,65,36.76470588235294,1537.7450980392157,1968,NATL,27.46419157719874,0.9939836664265334,low
AL021968,BRENDA,37,799200,13058733840.103703,65,43.513513513513516,2181.0810810810813,1968,NATL,27.46419157719874,0.9939836664265334,low
AL031968,CANDY,15,324e3,1634363547.2666664,60,30,990,1968,NATL,27.46419157719874,0.9939836664265334,low
AL041968,UNNAMED,5,108e3,229751960.64814812,25,25,625,1968,NATL,27.46419157719874,0.9939836664265334,low
AL051968,DOLLY,29,626400,11944528731.744444,70,46.03448275862069,2426.7241379310344,1968,NATL,27.46419157719874,0.9939836664265334,low
AL061968,UNNAMED,25,54e4,1148759803.2407408,25,25,625,1968,NATL,27.46419157719874,0.9939836664265334,low
AL071968,UNNAMED,15,324e3,889967194.7666665,30,27,735,1968,NATL,27.46419157719874,0.9939836664265334,low
AL081968,EDNA,31,669600,6790365147.348148,55,38.38709677419355,1622.5806451612902,1968,NATL,27.46419157719874,0.9939836664265334,low
AL091968,UNNAMED,38,820800,18177239920.207405,70,50.78947368421053,2805.2631578947367,1968,NATL,27.46419157719874,0.9939836664265334,low
AL101968,UNNAMED,19,410400,873057450.4629629,25,25,625,1968,NATL,27.46419157719874,0.9939836664265334,low
AL111968,UNNAMED,11,237600,605809969.837037,30,26.363636363636363,700,1968,NATL,27.46419157719874,0.9939836664265334,low
AL121968,FRANCES,30,648e3,4273386468.055555,50,34.5,1257.5,1968,NATL,27.46419157719874,0.9939836664265334,low
AL141968,GLADYS,34,734400,21762840918.866665,75,55.588235294117645,3391.176470588235,1968,NATL,27.46419157719874,0.9939836664265334,low
AL151968,UNNAMED,5,108e3,229751960.64814812,25,25,625,1968,NATL,27.46419157719874,0.9939836664265334,low
AL011969,UNNAMED,17,367200,781156666.2037036,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL021969,UNNAMED,5,108e3,229751960.64814812,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL031969,UNNAMED,9,194400,413553529.1666666,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL041969,UNNAMED,13,280800,597355097.6851852,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL051969,UNNAMED,9,194400,480457300.10740733,30,26.11111111111111,686.1111111111111,1969,NATL,27.883412996528662,1.009156122614031,high
AL061969,ANNA,46,993600,10223778447.274073,60,40,1693.4782608695652,1969,NATL,27.883412996528662,1.009156122614031,high
AL071969,BLANCHE,10,216e3,6005532449.774073,75,53.5,3182.5,1969,NATL,27.883412996528662,1.009156122614031,high
AL081969,DEBBIE,45,972e3,77324217066.32962,105,77.22222222222223,6547.222222222223,1969,NATL,27.883412996528662,1.009156122614031,high
AL091969,CAMILLE,35,756e3,80864970482.27036,150,71.28571428571429,6819.285714285715,1969,NATL,27.883412996528662,1.009156122614031,high
AL101969,UNNAMED,17,367200,781156666.2037036,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL111969,UNNAMED,9,194400,413553529.1666666,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL121969,EVE,12,259200,1802358180.8925922,50,35.416666666666664,1314.5833333333333,1969,NATL,27.883412996528662,1.009156122614031,high
AL131969,FRANCELIA,27,583200,23113414844.340736,100,59.25925925925926,3972.222222222222,1969,NATL,27.883412996528662,1.009156122614031,high
AL151969,UNNAMED,21,453600,1299477089.4259257,30,27.38095238095238,755.952380952381,1969,NATL,27.883412996528662,1.009156122614031,high
AL161969,GERDA,19,410400,16010219427.374073,110,50.26315789473684,3432.8947368421054,1969,NATL,27.883412996528662,1.009156122614031,high
AL171969,HOLLY,27,583200,10784373231.255554,75,45,2345.3703703703704,1969,NATL,27.883412996528662,1.009156122614031,high
AL181969,UNNAMED,17,367200,781156666.2037036,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL191969,UNNAMED,8,172800,367603137.037037,25,25,625,1969,NATL,27.883412996528662,1.009156122614031,high
AL201969,INGA,99,2138400,71342578820.46295,100,53.58585858585859,3425,1969,NATL,27.883412996528662,1.009156122614031,high
AL211969,UNNAMED,19,410400,9934842381.562963,65,54.21052631578947,3057.8947368421054,1969,NATL,27.883412996528662,1.009156122614031,high
AL221969,UNNAMED,23,496800,9701046786.407406,60,50,2630.4347826086955,1969,NATL,27.883412996528662,1.009156122614031,high
AL231969,UNNAMED,10,216e3,2498966125.5777774,50,42,1855,1969,NATL,27.883412996528662,1.009156122614031,high
AL241969,JENNY,22,475200,1367116066.6407404,40,27.045454545454547,746.5909090909091,1969,NATL,27.883412996528662,1.009156122614031,high
