storm.id,storm.name,n.obs,date.time,status,record.id,lat,long,wind,storm.year,basin
EP031986,CELIA,25,1986-06-29T06:00:00Z,Hurricane,NA,20.9,-113.1,65,1986,EPAC
EP031986,CELIA,25,1986-06-29T12:00:00Z,Tropical storm,NA,21.6,-113.6,45,1986,EPAC
EP031986,CELIA,25,1986-06-29T18:00:00Z,Tropical storm,NA,22.2,-114,35,1986,EPAC
EP031986,CELIA,25,1986-06-30T00:00:00Z,Tropical depression,NA,22.7,-114.4,30,1986,EPAC
EP031986,CELIA,25,1986-06-30T06:00:00Z,Tropical depression,NA,23.2,-114.9,30,1986,EPAC
EP031986,CELIA,25,1986-06-30T12:00:00Z,Tropical depression,NA,23.6,-115.4,25,1986,EPAC
EP031986,CELIA,25,1986-06-30T18:00:00Z,Tropical depression,NA,24,-115.8,20,1986,EPAC
EP041986,DARBY,17,1986-07-03T18:00:00Z,Tropical depression,NA,13.5,-104.5,25,1986,EPAC
EP041986,DARBY,17,1986-07-04T00:00:00Z,Tropical depression,NA,14,-105.7,30,1986,EPAC
EP041986,DARBY,17,1986-07-04T06:00:00Z,Tropical depression,NA,14.5,-106.6,30,1986,EPAC
EP041986,DARBY,17,1986-07-04T12:00:00Z,Tropical depression,NA,15.1,-107.5,30,1986,EPAC
EP041986,DARBY,17,1986-07-04T18:00:00Z,Tropical depression,NA,15.5,-108.4,30,1986,EPAC
EP041986,DARBY,17,1986-07-05T00:00:00Z,Tropical depression,NA,16,-109.3,30,1986,EPAC
EP041986,DARBY,17,1986-07-05T06:00:00Z,Tropical depression,NA,16.7,-110,30,1986,EPAC
EP041986,DARBY,17,1986-07-05T12:00:00Z,Tropical depression,NA,17.4,-110.8,30,1986,EPAC
EP041986,DARBY,17,1986-07-05T18:00:00Z,Tropical storm,NA,18.1,-111.5,35,1986,EPAC
EP041986,DARBY,17,1986-07-06T00:00:00Z,Tropical storm,NA,18.7,-112.3,35,1986,EPAC
EP041986,DARBY,17,1986-07-06T06:00:00Z,Tropical storm,NA,19,-113.2,35,1986,EPAC
