storm.id,storm.name,n.obs,storm.duration,storm.pdi,max.wind,mean.wind,mean.sq.wind,storm.year,basin,sst,sst.norm,sst.class,first.lat,last.lat,first.long,last.long,distance
AL011966,ALMA,42,907200,34632626746.533325,110,56.42857142857143,3750,1966,NATL,27.584636694220958,0.9983428145443433,low,12.7,42,-84,-70.5,4129704.832033278
AL021966,BECKY,9,194400,3413930333.662963,65,46.111111111111114,2352.777777777778,1966,NATL,27.584636694220958,0.9983428145443433,low,32.4,45.5,-57.8,-58.5,1678457.7711623951
AL031966,CELIA,36,777600,7839872103.588887,70,35.416666666666664,1488.1944444444443,1966,NATL,27.584636694220958,0.9983428145443433,low,19.1,52,-59.5,-57,5635625.168719912
AL041966,DOROTHY,37,799200,21340832517.548145,75,54.86486486486486,3210.810810810811,1966,NATL,27.584636694220958,0.9983428145443433,low,31,53.5,-41,-38.5,2864172.384044658
AL051966,ELLA,26,561600,4646503652.148148,45,37.69230769230769,1486.5384615384614,1966,NATL,27.584636694220958,0.9983428145443433,low,10,24.3,-35,-68.4,3917528.6145236846
AL061966,FAITH,69,1490400,120569417710.50368,110,78.98550724637681,6722.463768115942,1966,NATL,27.584636694220958,0.9983428145443433,low,12.9,62.9,-20.5,7,13439349.350014955
AL071966,GRETA,26,561600,2944501127.666666,50,32.30769230769231,1088.4615384615386,1966,NATL,27.584636694220958,0.9983428145443433,low,13.7,28,-48.4,-71.7,2977350.248270757
AL081966,HALLIE,7,151200,1098765776.6037035,45,35,1332.142857142857,1966,NATL,27.584636694220958,0.9983428145443433,low,21.5,20,-95.4,-96.7,240950.90696552212
AL091966,INEZ,81,1749600,163343351132.99628,130,76.23456790123457,6889.197530864198,1966,NATL,27.584636694220958,0.9983428145443433,low,9.9,21.5,-35.1,-100.6,7958753.9485040475
AL101966,JUDITH,15,324e3,1869629554.97037,45,33.333333333333336,1163.3333333333333,1966,NATL,27.584636694220958,0.9983428145443433,low,10.8,13.8,-43.2,-63.4,2221637.0789875803
AL111966,LOIS,39,842400,21180557549.799995,70,52.30769230769231,3016.6666666666665,1966,NATL,27.584636694220958,0.9983428145443433,low,26.5,41.2,-50,-14.3,5793029.3213039
AL111967,ARLENE,29,626400,11705219089.53333,75,47.58620689655172,2467.2413793103447,1967,NATL,27.314482106818136,0.9885653832103898,low,15.8,46.7,-35.8,-45.7,4814880.8042062605
AL121967,CHLOE,68,1468800,73559593339.93332,95,64.8529411764706,4724.264705882353,1967,NATL,27.314482106818136,0.9885653832103898,low,15.4,45.1,-20.3,1.5,10182823.779648293
AL131967,BEULAH,70,1512e3,145222722095.89258,140,76.78571428571429,6975.357142857143,1967,NATL,27.314482106818136,0.9885653832103898,low,14,25.8,-57,-100.3,5319935.463778414
AL141967,DORIA,55,1188e3,26411917792.974068,75,47.36363636363637,2641.3636363636365,1967,NATL,27.314482106818136,0.9885653832103898,low,28.5,29.5,-77.5,-67.5,4483683.334239398
AL181967,EDITH,21,453600,2501906950.674073,50,33.333333333333336,1142.857142857143,1967,NATL,27.314482106818136,0.9885653832103898,low,12.5,14.5,-47,-65.5,2036070.2938022246
